year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,19436,007 북경특급 2,코미디, 액션,주성치, 곡덕소,주성치,옛날 중국에선 황제의 보위를 위해 비밀 훈련을 받은 네 인물을 뽑아 보룡일족이라고 불렀다. 보룡일족 네 사람인 공, 희, 발, 제 네사람 중 공, 희, 제는 무술에 관한한 나라안의 최고 귀재였지만 발만은 무술에는 문외한이다. 원래 지방의 의사였던 발은 머리를 짜내 황제에게 바칠 발명품들을 만들어냈다. 암행어사 마패모양의 자석 방어기구와 황제를 위한 초대형 선풍기가 그것. 그러나 황상은 그를 중히 여기지 않고, 다만 발에게 신분을 숨기고 민심을 살피는 임무를 주는데……,,,,,,,,,,,,,,,,,,,,,,,,
2014,134601,2014 SBS 연예대상,,,이경규, 성유리, 배성재,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,134241,2014 가요대전 SUPER5,,,닉쿤, 정용화, 송민호,세계 최고의 K-POP 아티스트들이 총출동하는 스펙터클한 음악 축제의 탄생!     2014 , SBS 가요대전 - SUPER5   올 한해 트렌드와 핫 키워드를 담은 5개의 크리에이티브하고 폭발적인 무대가 펼쳐진다!  한층 업그레이드된 공연 구성과 라이브무대로 새로운 브랜드 가치를 가진,  세계적인 쇼에 여러분을 초대합니다!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,128804,2014 나는 가수다,,,효린, 플라이 투 더 스카이,화려한 보컬리스트들의 무대를 볼 수 있는 추석특집 프로그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,120511,2014 나도 별 Idol Battle,,,데니안,2014 실력 있는 아이돌들의 매력 발산 프로젝트. 12시간 동안 일어나는 신인 아이돌들의 리얼배틀! 양보는 없다! 패배도 없다! 매회 신인 아이돌 두 팀은 아침에 눈을 뜬 순간부터 시작해 상대 팀이 준 미션 등의 치열한 배틀을 하는 리얼리티 프로그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,133513,2014 드라마 페스티벌,드라마,,,경쟁력 있는 젊은 감독과 신인, 기성작가의 만남을 통해 실험적인 9편의 드라마를 선보이는 프로그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,131482,2014 드라마 페스티벌 - 가봉,,장준호,서예지, 허정도, 정호근,딸의 결혼식을 앞둔 한 여자가 30여 년전 자신이 일했던 곳을 찾아와 과거를 회상하게 되면서 일어나는 이야기를 다룬 드라마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,131511,2014 드라마 페스티벌 - 기타와 핫팬츠,,,한승연, 김다현, 김영훈,과거에 갇혀 지내던 기타리스트 태주와 현재 상황을 돌파하고픈 아이돌 안나의 이야기를 다룬 드라마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,129376,2014 드라마 페스티벌 - 오래된 안녕,,김희원,장혁, 장나라, 고두심,죽음을 앞둔 전 부인을 살리기 위해 시간 여행을 떠나게 된 남편의 이야기를 다룬 드라마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,131435,2014 드라마 페스티벌 - 원녀일기,,,오상진, 김슬기, 채수빈,조선시대 노처녀의 혼인에 대한 고민을 담은 청춘멜로사극 드라마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,129139,2014 드라마 페스티벌 - 터닝포인트 ,,,이종혁, 신다은, 김재경,만년 재연배우 염동일이 우연히 톱스타 광팬의 목숨을 구하며 인생 첫 스포트라이트를 받게 되는 이야기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
