year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,19436,007 북경특급 2,코미디, 액션,주성치, 곡덕소,주성치,옛날 중국에선 황제의 보위를 위해 비밀 훈련을 받은 네 인물을 뽑아 보룡일족이라고 불렀다. 보룡일족 네 사람인 공, 희, 발, 제 네사람 중 공, 희, 제는 무술에 관한한 나라안의 최고 귀재였지만 발만은 무술에는 문외한이다. 원래 지방의 의사였던 발은 머리를 짜내 황제에게 바칠 발명품들을 만들어냈다. 암행어사 마패모양의 자석 방어기구와 황제를 위한 초대형 선풍기가 그것. 그러나 황상은 그를 중히 여기지 않고, 다만 발에게 신분을 숨기고 민심을 살피는 임무를 주는데……,,,,,,,,,,,,,,,,,,,,,,,,
2014,97619,사랑에 빠지면 알게되는 것들,멜로/로맨스,린슈,모리노 미사키, 켄지 사토, 코하쿠 우타,인테리어 사무실을 운영하는 ‘미사키’, 미사키의 회사 직원 ‘레이카’, 유명 브랜드에서 점원으로 일하는 ‘이쿠미’는 서로 친구 사이이다. 천재적인 헌팅 능력으로 많은 남자들과 시간을 보내는 ‘레이카’, 유부남과 사귀고 있는 ‘이쿠미’와 달리 ‘미사키’는 싱글 라이프를 보내고 있다. 그러던 어느 날 ‘미사키’는 친구들과 함께 찾은 고급 바에서 사장 ‘후지이’와 인테리어를 주제로 대화를 나누고 그에게 호감을 느끼게 된다. 하지만 둘의 사랑은 계속 어긋나기만 하는데…     어긋나기만 하는 그들의 사랑… 그 결말은?,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,122507,사랑은 소설처럼,드라마, 멜로/로맨스,제시카 골드버그,크리스틴 리터, 브라이언 게라그티,동생들과 함께 살면서 특별할 것 없는 일상을 보내던 에이미(크리스틴 리터)는 어느 날 낯선 여행객 샘(브라이언 게라그티)을 만나 호감을 느끼고 그와 함께 하룻밤을 지내게 된다. 한 곳에 정착을 못하고 여행을 다니던 샘은 에이미를 잊지 못하고 그녀의 집으로 다시 찾아가 룸메이트를 제안한다. 예기치 않은 정착을 하게 된 샘과 새로운 룸메이트가 생긴 에이미는 서로에게 생긴 특별한 감정이 진짜 사랑일까 고민하게 되는데....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,95310,사랑의 유효기간은 3년,코미디, 멜로/로맨스,프레데릭 베그베데,개스파드 프로스트, 루이즈 보르고앙,믿었던 사랑과 이별 후 그 어떤 사랑도 믿지 않는 남자 마크(개스파드 프로스트)는 자신의 경험담을 총동원, 사랑에 비판적인 시선을 담은 [사랑의 유효기간은 3년]이라는 소설을 필명으로 집필한다. 하지만 졸작이라는 비난만 쇄도하고, 우연히 만나게 된 매력적인 여자 알리스(루이즈 보르고앙 분)에게 첫눈에 반하게 된 그는 “사랑은 3년이상 지속되지 않는다”던 자신의 사랑관은 뒤로 한채 그녀에게 빠져든다. 그녀와의 만남으로 행복함에 들뜬 마크는 슬쩍 자신의 책에 대해 알리스에게 묻지만  “쓰레기 같은, 형편없는 책”이라는 신랄한 비판과 함께 작가의 사랑관에 절대 공감할 수 없다고 한다.   책의 인기가 더해감에 따라 실제작가에 대한 대중의 관심이 높아져가던 어느 날 마크는 알리스가 그토록 혐오하는 책의 작가임이 만천하에 공개되는데..  그렇게 찾아온 사랑의 위기! 다시금 마크에게 ‘사랑의 유효기간은 3년’이란 법칙은 적용되는 것일까?  아니면 이번만큼은 그 유효기간이 연장될 수 있을까?   그의 사랑에 대한 정의가 흔들리기 시작한다!,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,102304,사랑이 필요할 때,드라마,린 쉘튼,엘렌 페이지, 로즈마리 드윗, 조쉬 파이스,애비(로즈마리 드윗)은 손님들이 즐겨 찾는 마사지 치료사로 자유로운 영혼을 가진 반면 그의 오빠 폴(조쉬 파이스)는 틀에 박힌 일상생활을 고집하며 손님이 많지 않은 치과를 운영하고 있다. 폴은 그의 딸 제니(엘렌 페이지)에게 보조를 맡겨 곁에 두고 의지하지만 한편으로는 그녀의 정서적인 독립을 가로막고 있다. 어느 날, 이 모두에게 변화가 찾아온다. 애비는 신체 접촉에 대해 걷잡을 수 없는 혐오감을 느끼는데, 마사지 치료사로서의 일도 불가능할뿐더러 남자친구(스쿳 맥네이리)와의 스킨십마저도 불가능해진다. 반면, 소문으로만 들었던 ‘힐링 터치’를 경험한 폴은 놀랍게도 사무실 안팎의 일상에 활기를 띠기 시작한다. 애비는 자기 탐구와 정체성의 위기를 겪으며 내면을 들여다보게 되고, 의심 많던 그녀의 오빠 폴은 예전과 완전히 달라진 새로운 모습에 눈을 뜬다.,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,87678,사막에서 연어낚시,드라마, 코미디, 멜로/로맨스,라세 할스트롬,이완 맥그리거, 에밀리 블런트, 크리스틴 스콧 토마스,영국 해양 수산부의 어류학자 알프레드 존스 박사(이완 맥그리거)는 어느 날, 투자 컨설턴트 해리엇(에밀리 블런트)으로부터 중동의 오일왕자가 계획 중인 '사막에서 연어낚시' 프로젝트에 대한 도움을 요청 받는다.    존스 박사는 '근본적으로' 불가능한 이야기라며 단박에 거절하지만 이 프로젝트를 정치적으로 이용하려는 총리실 홍보 담당자 패트리샤(크리스틴 스콧 토마스)의 압박을 받게 된 상관의 명령에 따라 어쩔 수 없이 이 황당한 프로젝트에 참여하게 되는데...    과연 이들은 '사막연어'프로젝트를 성공시킬 수 있을 것인가?!  올 가을, 당신의 마음을 움직일 기적이 시작된다.,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,95334,사보타지,액션, 범죄, 드라마, 스릴러,데이비드 에이어,아놀드 슈왈제네거, 샘 워싱턴, 올리비아 윌리암스,마약검거반 특수부대 최정예 팀 브라보!  애틀랜타 거대 마약 조직을 급습하는 위험한 작전 수행 중  거액의 현금이 보관된 금고를 비밀리에 습격하려는 계획을 세우지만  교전 중 팀원 한 명이 사망하고, 빼돌린 천만 달러까지 흔적 없이 사라져 버린다    결국 리더 존 브리쳐(아놀드 슈왈제네거)는 다시 팀원들을 소집하게 되고  팀 브라보의 재결합 축하파티가 열린 그 날 밤  팀원 파이로(맥스 마티니)가 잔인하게 살해 당한다  숨 쉴 틈도 없이 그 이튿날,  또 한 명의 팀원 넥(조쉬 홀로웨이)마저 처참한 주검으로 발견된다    정체 모를 적으로부터 팀원들의 목숨이 위협받는 전대미문의 사건!   이 사건을 맡은 담당형사 '캐롤라인'은 자신을 적대시 하고 협조하지 않는   브라보 팀원들로 인해 난항을 겪던 중   특수요원의 충격적 비밀을 감지하게 되는데...,,,,,,,,,,,,,,,,,,,,,,,,,
2014,121127,사이 : 여우비 내리다,멜로/로맨스,김선웅,하연수, 연제욱,어느 한적한 골목길 모퉁이에 작은 커피집이 있다. 한적하지만 나름 손님이 온다. 특히 날씨가 좋은날에는 손님이 붐비기도 한다. 연수는 이 작은 커피집을 운영한다. 연수가 골목길을 청소하던 이른아침 바위틈사이에서 난 양지꽃을 발견한다. 그리고 이날 유리와 우연한 만남을 갖게되고 자판장사를 하던 유리는 연수에게 가게앞에서 장사를 할수 있게  부탁을 한다. 유리에게 한눈에 반한 연수는 이를 흔쾌히 수락한다. 그리고 연수는 유리에게 점점 더 빠져들게 된다. 그리고 자판 앞에 나타난 한남자. 어리고 잘생긴 이 남자와 유리와 함께 행복해하는 모습을 발견한 연수. 연수는 어려보이는 무리와 점점 알듯 모를듯 신경전을 하기 시작하게 된다. 하지만 신경전을 넘어 무리와 친해지는 계기가 되고 점점 유리를 좋아하는 감정을 접으려 하기로 맘을 먹는데...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,113359,사이보그 프린세스,SF, 액션,사카모토 코이치,이와사 마유코, 키노모토 미네히로, 타케나카 나오토,웨스턴 블록과 이스턴 블록으로 나뉘어 대치 중인 근 미래의 지구. 웨스턴 블록과 이스턴 블록 사이에 위치한 군사경계 지역에는 여러 밀수조직이 불법적으로 인신매매, 장기매매, 밀입국 등을 하고 있다. 이런 암적 비지니스를 소탕하기 위해 웨스턴 블록에서 특수훈련을 받은 사이보그 요원인 ‘밀렌’이 파견된다. 그녀의 코드네임은 009-1. 암적인 밀수조직을 소탕한 009-1에게 웨스턴 블록의 핵심 과학자인 닥터 클레인을 구출하라는 임무가 주어진다. 인질을 구출하기 위해 현장으로 파견된 그녀는 자신보다 더 뛰어난 힘을 가진 사이보그에게 공격을 받게 되는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,89264,사일런트 스크림,공포, 범죄, 스릴러,크리스 켄티스, 로라 라우,엘리자베스 올슨, 애덤 트레스,아빠와 함께 오래 비워두었던 자신의 집을 찾아온 사라.   전기마저 끊긴 어두컴컴한 집에서 사라는 낯선 이의 흔적을 느끼고 두려움에 사로잡힌다.   그 순간, 집 안에서 의문의 소리와 함께 갑자기 아빠가 사라지고 어둠 속에 홀로 남겨진 그녀.  오직 불빛 하나로 아빠를 찾아 나선 그녀는 알 수 없는 침입자에 의해   숨소리조차 낼 수 없는 충격적 공포와 마주하게 되는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,145113,사적인 여고생,드라마,이희원,배단희, 김우주, 임은지,벼랑 끝에 몰린 세 명의 여자. 고학번. 대학생 이야기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,123020,사케 불륜정사,에로,칸바라 이쿠토,사카모토 리사,착한 딸과 성실한 샐러리맨 남편을 둔 주부 유미에. 집안일과 육아에 쫓겨 정신없이 지내다 이제 생활이 안정되자 스스로의 강렬한 성욕이 이끄는 대로 자위에 빠져든다. 그러던 어느 날, 딸을 위해 부른 가정교사와의 만남을 통해 새로운 설렘과 자극에 눈을 뜨게 되고, 두 사람은 비밀스러운 관계를 이어나간다.   갑자기 전근을 가게 된 남편을 따라 시골로 내려온 아키코. 집에서 컴퓨터 교실을 운영하며 아르바이트를 해서 가계에 보탬이 되려 한다. 건물 관리인 오오타는 집에서 글을 쓰는 작가로 그녀에게 자상하게 접근하지만 사실 그녀의 집을 훔쳐보며 틈을 노리고 있었다. 그리고 그의 계략대로 주변 남자들의 노리개가 되는 그녀. 그리고 그 생활의 쾌락에 젖어든 나머지 남편과 이혼 후에도 집을 떠나지 않고 즐기며 살아가게 된다.   학생 때부터 서로 응원해 오던 친구를 잃은 그. 좀처럼 발걸음을 옮기지 못 하고 49재의 마지막 날이 되어서야 상갓집을 방문한다. 홀로 쓸쓸히 그를 맞는 친구의 아내. 두 사람은 친구의 추억을 회상하며 뜨거운 정사를 갖는다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,121728,사쿠라 트릭,드라마,이시쿠라 켄이치,토마츠 하루카, 이구치 유카, 아이사카 유우카,폐교를 3년 앞둔 미나토 서부 고교에 진학하게 된 하루카와 유우.  입학식 날, 두 사람이 서로를 [특별한 존재] 로서 인식하기 위해 했던 그 [행동] 은  둘의 관계를 더욱더 깊게 만드는 계기가 된다.    즐거우면서도 애절한 여자아이들의 청춘 이야기.   달콤함이 넘치는 그 마음이 당신에게도 닿기를...!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,129759,사토미를 찾아라,코미디,New Pistol,사토미 유리아, 곽한구, 선우철,일본 AV 계의 아이돌이자 여신인 사토미 유리아의 팬미팅이 준비되며 한국 기획사는 어떻게든 돈을 아껴보려 전전긍긍하고 있다. 가짜 통역알바를 구하고 싸구려 여관을 호텔로 속이는 등 위태위태한 상황에서 진행되는 사토미의 팬미팅! 무책임한 통역알바는 다른 아르바이트를 하러 훌쩍 도망가 버리고 일본 매니지먼트 회사에 이메일을 보내야 하는 매니저는 근처 PC방으로 사라진다. 한 순간에 홀로 남겨진 사토미! 현장에 남겨진 여직원 마저 밴을 끌고 사라지고 쫓아가던 사토미는 바니걸 차림에 옷도 없이 홀로 남겨지게 되는데…!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,106559,산타바바라,멜로/로맨스, 드라마,조성규,이상윤, 윤진서, 이솜,친한 형의 배신으로 빚쟁이들에게 목숨보다 소중한 기타를 빼앗긴 음악감독 ‘정우’(이상윤)는 광고 음악을 만들어보자는 제의를 받고 광고 AE ‘수경’(윤진서)과 만난다. 행동하는 방식도 가치관도 달라 사사건건 충돌하던 두 사람은 어느 날 함께 와인을 마시던 중 와인과 영화 그리고 산타바바라를 동경하는 서로의 공통적인 취향을 발견하고 호감을 느끼게 된다. 함께 술을 마신 다음 날, 필름이 끊긴 정우에게 수경은 어제 사귀기로 했다는 깜찍한 폭탄발언을 한다. 풋풋한 연애가 시작된 순간 정우는 피치 못할 사정으로 광고 기일을 맞추지 못하게 되고, 사랑보다 일이 우선인 수경은 배신감을 느끼며 이로 인해 둘의 관계는 다시 원점. 시간이 흐른 후 광고로 다시 만나게 된 정우와 수경. 어색하기만 이들은 광고 프로젝트를 위해 어쩔 수 없이 이들의 로망이었던 산타바바라로 떠나게 되는데…    낭만주의 음악감독과 완벽주의 광고쟁이  와인보다 달콤 짜릿한 만남이 시작된다!,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,124349,살림의 신 시즌2,,,,잡지, TV에서 매일같이 쏟아지는 요리, 청소, 육아 인테리어 정보들. 하지만 아무리 좋다고 해도 어렵고 복잡한 살림법은 남의 이야기일 뿐, 그래서 '살림의 신'이 준비했습니다. 초보 주부들이 가질만한 기본적인 궁금증부터 베테랑 살림꾼도 공감할 궁금증까지, 단계별로 차근차근 하나씩 익혀나간다면 누구나 쉽고 간단하게 생생한 살림 비법을 따라 할 수 있습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,130906,살림의 신 시즌3,,,박지윤, 김효진, 성대현,대한민국 주부들이 필요로 하는 다양한 살림 비법과 아이템을 소개하는 프로그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,122474,살인병기,액션, 드라마,지오지오 세라피니, 제임스 코인,쿵 리, 돌프 룬드그렌, 비니 존스,전쟁터를 넘나들던 군인이었지만 지금은 은퇴하고 평화로운 일상을 보내고 있던 존은 어느 날 우연히 알게 된 매춘부 때문에 폭력배들 간의 싸움에 말려들게 된다. 불의를 참지 못하고 주먹을 휘두르는 바람에 거대 폭력 조직의 표적이 된다. 그러나 폭력 조직은 존이 아닌 그의 가족을 잔인하게 살해하고, 분노한 존은 경찰의 도움도 뿌리친 채 직접 폭력 조직을 처단하기 위해 나선다.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,86210,살인의 기억,SF,다비드 루이즈,쿠노 벡커, 알바로 구에레로,정신분석학자인 하이메는 완전한 기억상실증과 심한 육체적 고통에 시달리는 청년을 자신의 산장 근처에서 발견하고는 도우려고 마음을 먹는다. 하지만 전 세계 개인 데이터베이스에서 이 남자의 신상을 찾을 수가 없었다. 하이메는 계속된 조사 끝에 이 남자가 여러 이름으로 다른 병원에 등록되어 있다는 사실을 발견하지만, 공식적으로는 세상에 존재하지 않는 인물이란 걸 알게 된다. 뒤이어 알 수 없는 조직은 그를 저지하려 무장 세력을 보내 총격을 가하기 시작 하는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,117281,살인자,스릴러,이기욱,마동석, 안도규, 김현수,연쇄살인마라는 정체를 숨기고 시골 마을에서 조용히 살아가던 주협(마동석).    그의 살인본능을 잠재우게 한 유일한 존재인 아들에게 특별한 친구가 생겼다.    바로 자신의 정체를 아는 유일한 소녀!    결국 주협은 자신과 아들을 위해 소녀를 없애기로 결심한다.    소녀로 인해 깨어나는 그의 살인본능! 자신과 아들을 위해 소녀를 처리하라!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,129340,삼시세끼 ,,나영석, 박희연,이서진, 택연,도시에서 쉽게 해결할 수 있는 '한 끼' 때우기를 낯설고 한적한 시골에서 가장 어렵게 해 보는 야외 버라이어티 프로그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,121058,삼촌로망스,,,양준혁, 강성진, 강레오,스타들이 직접 농촌의 삶을 체험해보는 리얼 농촌 버라이어티,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,125270,삼총사,,김병수,정용화, 이진욱, 양동근,"조선 인조시대를 배경으로 강원도 무인이자 가난한 집안의 양반 출신으로 한양에 올라와 무과에 도전하는 '박달향'이 자칭 ""삼총사""인 '소현세자'와 그의 호위무사 '허승포'", '안민서'를 만나, 조선과 명청 교체기의 혼란했던 중국을 오가며 펼치는 호쾌한 액션 로맨스 활극,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,123086,삼총사 2014,모험,세르게이 지노프,리날 무하메토프, 유리 추신, 알렉세이 마카로프,근위대 총사를 꿈꾸던 달타냥은 아버지의 소개장을 갖고 파리로 향하지만 도중에 시비가 붙어 로슈포르 백작에게 소개장을 빼앗기고 만다. 게다가 파리에 도착하자마자 전설의 삼총사 아토스, 프로토스, 아라미스에게 차례로 결투신청까지 받게 된다. 더럽게 꼬이는 일진! 그러나 사나이들의 진검 승부 이후 달타냥은 삼총사의 절친한 친구가 되고 곧 프랑스를 위협하는 악당의 음모에 맞서게 된다. 과연 달타냥은 프랑스를 지키고 총사가 될 수 있을까?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,120588,삼총사 시즌1,드라마,,루크 파스콸리노, 톰 버크, 하워드 찰스,알렉상드르 뒤마의 원작 소설을 각색한 BBC의 액션 시대극. 17세기 파리를 배경으로 달타냥과 삼총사 친구들이 추기경의 음모를 파헤치는 과정을 그린 액션 시대 드라마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,117774,상의원,드라마,이원석,한석규, 고수, 박신혜,30년 동안 왕실의 옷을 지어온 상의원의 어침장 조돌석(한석규)은   이제 6개월만 채우면 곧 양반이 된다.     어느 날 왕의 면복을 손보던 왕비(박신혜)와 그녀의 시종들은 실수로 면복을 불태우게 된다.     궐 밖에서 옷 잘 짓기로 소문난 이공진(고수)은   급하게 옷 짓는 사람이 필요했던 왕비의 청으로 입궐하여  하루 만에 완벽하게 왕의 옷을 지어 올린다.    돌석은 처음에는 기생들의 옷이나 만드는 천한 사내라고 생각하며 공진을 무시하나  자신을 곧잘 따르는 공진에게 점차 마음을 열게 되고,  그의 천재성에 묘한 질투심도 느낀다.     왕(유연석)과 왕비를 사로잡은 공진의 옷들은 조선 전체의 유행을 일으키는 한 편,  청나라 사신을 위한 대형 진연을 앞두고   모두들 자신의 운명을 바꿀 최고의 옷을 만들기 시작하는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,75502,상해전기,다큐멘터리,지아 장 커,자오 타오, 인디카오, 신이창,급변하는 중국. 그 중 최고의 항구 도시 상해(上海:상하이)에는 혁명가와 자본가, 정치가, 군인, 예술가, 조직폭력배 등 다양한 사람들이 살고 있었다. 그리고 역사를 뒤흔든 혁명이나 정치적 암살은 물론, 아련한 사랑에 이르기까지 다양한 이야기들도 공존했다.   하지만 1949년, 중국 공산주의자들의 승리 이후, 상해의 수많은 사람들은 선택의 기로에 서게 된다. 하나는 상해를 떠나 홍콩이나 대만으로 가는 것으로 이는 곧 고향을 잃어야 함을 의미했다. 다른 하나는 상해에 남아 중국 문화혁명부터 시작된 정치적 재앙들을 묵묵히 견디는 것이었다.    이렇게 자신의 결정에 따라 각각 세 도시-상하이, 타이베이, 홍콩-로 흩어져 살게 된 17명의 사람들이 카메라 앞에서 자신들의 옛 상해 시절을 회상하며 이야기를 이어간다. 그들의 경험들은 마치 17개의 챕터로 이뤄진 소설처럼 얽히고설켜 1930년대부터 2010년에 이르는 상해의 모습을 우리에게 전해준다.     그리고 이야기는 영원히 변치 않고 방황하던 영혼 하나가 상해로 돌아와 황푸강 둑을 걸으며, 도시가 겪은 이 모든 변화의 스토리를 깨달아 가는 과정으로 완성된다.,,,,,,,,,,,,,,,,,,,,
2014,129382,새 폴더,멜로/로맨스, 코미디,황상원,금보, 강경우, 신유주,대한민국 최고의 찌질남 ‘형도’는 별다른 직업 없이 부모님이 운영하는 고깃집에서 구박을 받으며 근근이 하루하루를 버틴다. 여자에게 관심이 많은 형도, 하지만 못생긴데다 뚱뚱하기까지 한 그 에게 관심을 가져주는 여자는 거의 없다.  어느 날, 여자를 소개 받기로 하고, 들뜬 마음으로 소개팅을 나가지만 소개팅녀에게 처참히 차이고 마는 형도, 우울한 마음에 고깃집 단골손님에게 충동적으로 고백을 하지만 역시나 굴욕적으로 차이고 만다.  모든 것을 다 잃은 듯 거리를 걷던 형도, 불의의 교통사고를 당해 대수술을 받게 된다.  몇 개월 뒤, 완전 다른 사람이 되어 병원을 퇴원하는 형도.  지금까지 자신을 무시하고 찼던 여자들을 찾아가는데....,,,,,,,,,,,,,,,,,,,,,,,
2014,124342,생방송 뮤직  ,,,신치림, YB, 박정현,다양한 장르, 연령의 아티스트들이 들려주는 진정성 있는 음악무대를 담은 프로그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,123528,생방송 상암통신,,,김정근, 이성배, 클라라,반가운 MBC 대표 얼굴들을 VCR을 통해 만나보는 프로그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,100039,생존게임 247°F,공포, 스릴러,레반 바키아, 베카 주부리아,스카우트 테일러-콤프튼, 트래비스 반 윙클, 마이클 코폰,남자친구의 친구 삼촌이 운영하는 산장에 초대받은 르네. 약혼자를 잃은 슬픔을 극복하지 못하는 친구 제나를 함께 데리고 간다. 모두는 저녁 마을 파티에 가기 전에 사우나를 즐기고 마이클은 약과 술에 취해 정신을 차리지 못한다. 사고로 인해 세 명의 청춘 남녀가 사우나 실에 갇히게 되는데... 점점 올라가는 온도로 인해 그들은 생존을 위한 발악을 시작한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,114733,샤크 스톰,공포, SF,안소니 C. 페란트,이안 지어링, 타라 레이드, 존 허드,매년 상어 떼가 지나는 길목에 어선이 있다. 상어를 잡는 배, 상어의 지느러미를 구하기 위해 그곳에 있다. 선장과 그의 고객이 거래를 하는 사이, 배는 폭풍에 휩싸이고, 상어가 가득한 바다에서 일어난 소용돌이는 상어도 같이 빨아들여, 상어가 가득한 허리케인이 된다. 선장과 선원 그리고 선장의 거래상대가 첫 희생자가 된 소용돌이는 엄청난 규모의 태풍이 되어 LA로 향하는데, LA에는 이 태풍을 심각하게 받아들이는 사람은 아직 아무도 없는데...,,,,,,,,,,,,,,,,,,,,,,,,
2014,126370,샤크 어택,액션, 공포, SF,스콧 휠러,알렉산더 멘델룩, 케이트 노타,웨이드와 메디슨은 커플로 봄 방학 기간을 맞아 리조트에 놀러온다.  한창 특수 시즌인 리조트는 많은 행사와 파티가 열리고 있다. 그러나 파티가 무르익어 갈수록 실종되는 사람들이 늘어가고 웨이드의 동생과 캐롤의 일행 역시 갑자기 사라져 버렸다.  웨이드와 캐롤은 보안관과 순찰대에 찾아달라고 부탁하지만 아무도 귀담아 듣지 않는다.  결국 직접 찾아 나선 웨이드와 메디슨, 그리고 캐롤은 갑자기 튀어나온 상어가 사람을 잡아먹는 장면을 목격하게 되는데... 과연, 이들은 식인 상어로부터 무사히 살아남을 수 있을까!?,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,126691,섀도우 솔저,액션, 전쟁,J. 스티븐 마운더,마크 다카스코스, 대니 트레조, 톰 시즈모어,이라크 기습 중, 전우이자 연인 사샤를 잃어버린 맥스는 자취를 감춘다. 2년 후, 알 카에다의 일원으로 스팅어 미사일 거래에 나타난 사샤. CIA와 특수부대의 타겟이 된다. 최정예 특수요원 ‘섀도우 솔저’로 돌아온 맥스. 이중 스파이 사샤를 구하고 스팅어 미사일을 사수하라!,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,117269,서른아홉, 열아홉,코미디, 멜로/로맨스,데이빗 모로,피에르 니네이, 버지니아 에피라,스포츠카 모는 39 패션에디터 ‘알리스’  8년 동안 남자와도 담쌓고, 커리어에만 목숨 건 워커홀릭!  잃어버린 USB를 찾기 위해 브라질 출장에서 만난 발타자르와 재회하게 된 알리스는 발타자르와 키스하는 듯 찍힌 사진이 SNS에 퍼지면서 한 순간에 어린 남자와 데이트 하는 ‘쿠거족’이 된다. 기가 막힌 알리스와 달리 편집장은 그녀의 이런 거침없는 모습을 응원하고, 절친마저 발타자르를 이용하라고 부추기는데…    스쿠터 타는 19 건축학도 ‘발타자르’  이제 갓 열아홉, 그 어떤 것보다 사랑에 올인하는 러브홀릭!  우연히 만난 매력적인 연상녀 알리스에게 마음을 뺏기지만 그녀는 어린 자신에게 관심이 없는 듯해 실망스럽다. 그러나 갑자기 학교로 찾아와 자신에게 데이트 신청을 하는 알리스로 인해 당황스러우면서도 이 상황이 전혀 싫지 않은 발타자르. 그는 아름답고, 섹시하고, 프로페셔널한 알리스의 모습에 점점 빠져들게 되는데…    39-19 = 20살! 20살차이 로맨스의 모든 것이 밝혀진다!,,,,,,,,,,,,,,,,,,,,,,,,
2014,118412,서울연애,드라마, 멜로/로맨스,최시형, 이우정, 정재훈,고현, 박주희, 구교환,우리는 아슬아슬한 친구와 연인의 사이에서 <영시>에 서로의 마음을 확인하기도 하고,  영원할 것 같던 <서울생활>에서 갑작스레 돌아서기도 하고, <상냥한 쪽으로> 향하던 마음이 어느 순간 사소한 일로 토라지기도 합니다.   누군가는 피할 수 없는 봄날의 <춘곤증>처럼 다소 위험스런 비밀연애를 하고 <군인과 표범>들은 헤어진 친구를 도와주다 뜬금없는 마음의 허전함을 발견하기도 합니다. 몸의 기술이 마음의 속도를 따라잡지 못하는 <뎀프시롤: 참회록>처럼 우리의 서울과 당신의 연애는 결코 한 가지 이야기로는 설명이 되지 않습니다.  버스 전용 차선에서, 지하철 환승 통로에서, 골목길 가로등 밑에서 만날 수 있는 사랑 이야기 여섯  당신이 몰랐던 서울, 당신을 몰라준 마음 파리와 뉴욕이 부럽지 않은 우리들의 ‘서울/연애’를 만난다.,,,,,,,,,,,,,,,,,,,,,,
2014,118364,선 오브 갓,드라마,크리스토퍼 스펜서,디오고 모르가도, 세바스찬 냅, 다윈 쇼,대제국 로마로부터 박해받는 이스라엘 민족.  그들에게 구원과 믿음을 전파하며 세상의 죄를 대신하여 십자가에 못박힌 역사를 바꾼 예수 그리스도의 이야기.  인류 역사상 가장 위대한 사랑을 만난다!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,106557,선샤인 온 리스,뮤지컬, 드라마, 코미디,덱스터 플레처,피터 뮬란, 안토니아 토마스, 프레야 메이버,아프카니스탄 파병을 마치고 영국의 고향집으로 무사히 돌아온 데이비(조지 맥케이)와 알리(케빈 구스리). 이제야말로 행복하게 살 수 있길 바라며, 알리는 여친이자 데이비의 여동생 리즈(프레야 메이버)를 만나고, 데이비도 이본(안토니아 토마스)을 소개받아 꿈 같은 나날을 보낸다. 데이비가 이본과 첫눈에 반하지만 확신을 주지 못해 애만 태우는 사이, 알리는 깜짝 프로포즈를 계획하는데…. 데이비와 리즈의 부모님 결혼 25주년 은혼식 파티 분위기를 이용하려는 그의 청혼은 과연 성공할 수 있을까?,,,,,,,,,,,,,,,,,,,,,,,,,
2014,131509,선암여고 탐정단,,여운혁, 유정환,진지희, 강민아, 혜리,다섯 명의 여고생들이 좌충우돌 벌이는 탐정 행각을 그린 드라마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
