year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,
2015,104373,5 to 7,멜로/로맨스,빅터 레빈,안톤 옐친, 베레니스 말로에,24살 뉴요커, 풋내기 작가 지망생 브라이언  매일매일 출판사의 거절 레터를 받으며 하루하루 지쳐가는 브라이언. 그는 어느 날 길을 걷다가 그의 가슴에 들어온 운명의 그녀 아리엘을 만난다. 인어공주와 같은 이름을 가진 그녀는 뉴욕에 온지 얼마 안 된다고 이야기하고 브라이언은 완숙하며 지적인 매력을 가진 그녀에게 더욱 끌리는데…    33살 파리지엔느, 완숙한 그녀 아리엘  파리에서 온지 얼마 안되어서 아직 뉴욕이 낯선 그녀 아리엘. 그녀에게 다가온 브라이언 때문에 사랑을 믿지 않던 그녀가 흔들린다. 프랑스에선 배우자가 있어도 자신만의 시간을 가질 수 있는 오후 5시에서 7시. 아리엘은 브라이언에게 5시에서 7시까지의 특별한 데이트를 제안하는데…    센트럴 파크, 쿠겐하임 미술관, 쉐리-르만 와인샵, 크로포드 도일 서점…   뉴욕의 가을 속에서 이들의 시크릿 로맨스가 시작된다!,,,,,,,,,,,,,,
2015,139231,5월 아이들,,,,아이들은 누구나, 하루하루 자란다. 중증질환에 걸린 아이들도 마찬가지다.   한국의 아동기 사망원인 1위인 소아암에서부터 5000여종에 이르는 희귀난치병까지.   희망으로 버티는 긴 투병 과정에서 아이들은 ‘아이’로 자라며 삶을 온전히 누릴 권리를 박탈당한다. 하지만 병실 천장을 보고 누워있는 동안 이 아이들은 다른 아이들과 마찬가지로 육체적·정서적으로 성장하고 있다.    아픔 속에서도 하루하루 성장해나가는 아이들의 삶 또한 충분히 가치 있는 것이다.   비록 남들보다 조금은 짧은 생을 살아갈지라도, 아이들은 하루하루 놀고 웃으며 성장해야하는 것이다. 그리고 아이들의 하루하루는 가족들에게 행복의 의미를 일깨운다.  사회는 아이를 함께 키운다. 아픈 아이들도 마찬가지다. 이 아이들의 행복은 가족들만의 책임이 아니라 우리 어른들 모두의 것이다. ‘마지막 그날까지 놀고 싶은’ 아이들을 위해 우리는 어떤 것을 해줄 수 있을까,,,,,,,,,,,,,,,,,,
2015,139105,7공주 대리운전,코미디,,곽진영, 차영옥, 김동수,여덟 세대가 거주중인 공주빌라에 어느 날 갑자기 빌라 경매 예정 통지서가 날라온다. 세입자 대표 오하니(곽진영)는 각 세입자들을 소집해 공주빌라를 남의 손에 넘기지 말고 지켜내자며 빌라 입찰을 제안한다. 하지만, 각자 가지고 있는 돈을 모두 합해도 공주빌라를 낙찰 받기에는 턱없이 부족한 상황. 고심 끝에 공주 빌라 사람들은 경매 입찰금의 모자란 금액을 충당 하기 위해 ‘7공주 대리운전’을 결성하게 된다. 타 업체와는 다른 차별화된 서비스로 입 소문을 타기 시작하면서 대박 행진을 하게 되고 우여곡절 끝에 가까스로 입찰금을 마련하지만, 예상치 못한 사건으로 모두 날리게 되면서 쫓겨날 위기에 처하게 되는데...  과연 공주 빌라 사람들은 자신들의 안식처를 지켜낼 수 있을까?,,,,,,,,,,,,,,,,
2015,93218,7번째 아들,판타지, 모험, 가족,세르게이 보드로프,제프 브리지스, 벤 반스, 줄리안 무어,100년만에 전설  속 붉은 달이  뜨고 대마녀 멀킨(줄리안 무어)과 어둠의  존재들이 되살아나면서 세상은  멸망의 위기에 빠진다. 한편, ‘7번째 아들의 7번째 아들’  톰(벤 반스)은 매일  밤 꿈에 나타나던  남자 그레고리(제프 브리지스)와 만나게  되고 그는 톰만이  세상을 구할 유일한  희망이라며 자신과 함께  절대 악과 맞서  싸워야 한다고 하는데…,,,,,,,,,,,,,,,
2015,145235,9초 - 영원의 시간,드라마,박찬율,이주승, 해령,,,,,,,,,,,,,,,,,,,,
2015,140177,AOA의 어느 멋진 날,,,AOA ,AOA의 유쾌한 모습부터 진솔한 모습까지 다양한 매력을 엿볼 수 있는 좌충우돌 여행 프로그램,,,,,,,,,,,,,,,,,,,,
2015,138328,CJ헬로모바일 슈퍼레이스,,,,아시아 최초의 스톡카 레이스 개최를 하면서 프로레이싱 팀 및 국내 최고기량의 선수들이 참여하고 있는 국내 유일의 챔피언십 대회,,,,,,,,,,,,,,,,,,,,
2015,141710,CLASSROOM CRISIS!,애니메이션, 드라마,나가사키 켄지,모리쿠보 쇼타로, 아마미야 소라, 오자와 아리스,"옛날, 아직 인간이 우주를 동경하고, 프론티어 스피릿으로 넘치던 시절. 태양계 행성들에 세계 각국의 새로운 도시가 건설됐고, 그곳에서 많은 사람들이 안정적인 삶을 살았다.   이 이야기는 그런 행성 중 하나인 화성에 위치한 새로운 일본 지역, 제4도쿄도를 무대로 어린 고등학생 샐러리맨들이 펼치는 청춘 그래피티이다.",,,,,,,,,,,,,,,,,
2015,139704,EXID의 쇼타임,,,EXID,데뷔 3년 차를 맞은 EXID의 첫 리얼리티! EXID의 위에서 아래까지! 어디서도 본 적 없던 그녀들의 진짜 모습과 드라마틱한 EXID의 네버엔딩 성장 스토리를 최초 공개하는 프로그램,,,,,,,,,,,,,,,,,,,,
2015,141727,GOD EATER,애니메이션, 액션, 판타지,히라오 타카유키,키지마 류이치, 히라타 히로아키, 나카이 카즈야,"2050년대 초, 갑자기 나타난 미지의 생명체 '오라클 세포' 는 지구상의 모든 대상을 '포식' 하기 시작한다.     모든 것을 먹고, 다양하게 변화하는 흉포한 생명체, 그 존재를 언제부턴가 사람들은 두려움을 담아 '아라가미' 라고 불렀다.   기존에 있는 무기를 모두 무력화시킨 아라가미 때문에 도시 문명은 붕괴되고, 인류는 서서히 생존권을 빼앗기게 된다.    그러나 이런 인류에게도 마지막 광명은 남아있었으니, 그것은 바로 오라클 세포를 심은 생체병기 '신기' 와 그것을 조종하는 특수부대, 통칭 '갓 이터'    거친 신들에 의해 억압받는 세상에서, '신을 먹는 자' 의 내일 없는 전쟁이 시작된다.",,,,,,,,,,,,,,,,
