year,code,title,genre,directors,actors,story,,,,,,,,,,,,,
2018,181563,가정부 길들이기,,한동호,,일본 생활에 외로움을 느낀 정수와 재민  두 사람은 진지한 대화 끝에 함께 살기로 결정한다.  함께 살게 된 두 사람은 구인구직란을 살펴보며 집안 청소와 가사 일을 도맡아 줄 출장 가사도우미를 부르게 된다.   애띤 모습의 젊은 가사도우미(시라사키 유즈)와 육덕진 몸매와 미모를 갖춘 (카즈키 사쿠라)중년 아줌마 가사도우미의   등장으로  뼛속 깊이 숨어 있던 정수와 재민의 성적본능이 되 살아 나게 되고.....  가사도우미들로 인하여 급기야 두 남자의 우정은 어느새 온데간데없이 사라지게 되고.....  정수와 재민 가사도우미 시라사키 유즈, 카즈키 사쿠라 네 남녀의 엽기적인 동거생활이 시작된다.,,,,,,,,,,,,
2018,143388,갈매기,드라마,마이클 메이어,시얼샤 로넌, 아네트 베닝, 빌리 하울,달빛이 내려앉은 아름다운 호숫가,  무대 뒤에서 첫 공연을 준비하는 ‘니나’(시얼샤 로넌)와 ‘콘스탄틴’(빌리 하울)  ‘이리나’(아네트 베닝)처럼 유명한 배우가 되길 원하는 ‘니나’는  촉망받는 작가 ‘보리스’(코리 스톨)의 등장에 설레고,  ‘콘스탄틴’은 그런 그녀를 보며 애태우는데…,,,,,,,,,
2018,175274,감금,,최석원,,어느 편션에 일본에서 들여온 나무가 있다. 그 나무로 인해 사람들이 기억을 잃기 시작하고 펜션주인과 본좌만이 정상적인 생활이 가능하다. 그 나무를 이용하여 펜션주인과 본좌가 사람들을 감금시키고 자기 만족을 하기 시작한다.,,,,,,,,,,,,,
2018,179200,감금당한 청순미인의 절정,드라마,츠지 코우지,카와카미 유우,결혼을 한 달 앞둔 의붓 여동생 '하루코'와 함께 인사를 드리기 위해 할머니 댁에 찾아간 ‘준이치’. 그는 그곳에서 오래된 헛간을 구경한 후 이상한 꿈을 꾸게 된다. 자신의 동생인 하루코가 후미코 할머니의 어머니인 '사쿠라'가 되어 헛간에 갇혀 있었던 것. 그는 몰래 숨어 사쿠라에게 일어나는 일들을 목격한다. 잠에서 깨어난 그는 꿈이 실제 있었던 일이라는 것을 깨닫게 되고 여동생 하루코에게 묘한 감정을 느낀다. 그리고 신기하게도 같은 꿈을 꾼듯한 하루코와 몸을 섞게 된다.,,,,,,,,,,,,,
2018,137343,강한 칼: 도도견혈,드라마, 액션, 전쟁,아감,이동학, 하윤동, 하재동,동생을 위해 감옥에 들어갔던 형, 감옥에 나와 동생과 다시 재회하게 되고 형제는 가난하지만 행복한 나날을 보낸다. 하지만 형제는 음식점에서 밥을 먹고 도망치다가 잡히는데 이번에는 감옥이 아닌 전쟁터에 군인으로 끌려가게 된다. 트럭에 태워져 가던 도중 형은 동생을 도망치게 만들고 그 후 5년의 세월이 흐른다. 하지만 운명의 장난처럼 동생은 중대장이 되고 죽은 줄만 알았던 형은 적군의 대장이 되어 있었다. 예술가들의 후송을 맡은 동생과 그의 길을 막는 형은 피할 수 없는 만남을 갖게 되는데...,,,,,,,,
2018,150097,개들의 섬,애니메이션, 모험, 코미디,웨스 앤더슨,브라이언 크랜스톤, 코유 랜킨, 리브 슈라이버,인류를 위협하는 개 독감이 퍼지자, 세상의 모든 개들은 쓰레기 섬으로 추방되고, 자신이 사랑하던 개를 잃은 소년은 개를 찾아 홀로 섬으로 떠난다.   소년은 그 곳에서 다섯 마리의 특별한 개들을 만나게 되고, 함께 사라진 개를 찾아가는 그들 앞에 기상천외한 모험이 펼쳐지는데…    개를 사랑한 소년,  소년을 사랑한 개    남다른 개들의 색다른 어드벤쳐가 시작된다!,,,,,
2018,170672,거대 불개미의 습격,액션, 코미디, 공포,마르코 매킬락소,해리 리스터 스미스, 바네사 그레이즈, 칼럼 맥고완,브라이언과 루카스는 리사와 함께 사막에서 열리는 파티로 향한다. 잠시 파티장에서 떨어져 나온 브라이언과 루카스는 근처 버려진 건물을 탐험하다 거대한 개미와 마주치고, 가까스로 빠져나온다. 한편 개미의 에너지원이 밝혀지면서 친구들은 파티에 있던 이들을 비롯해 마을 사람들의 목숨이 그들의 손에 달려 있다는 걸 알게 되는데…,,,,,,,,
2018,172506,거래처 여직원,,나쿠루 하라다,,정년퇴직을 앞둔 기업의 부장. 어느 날 공원에서 졸고 있는 미녀의 아랫도리를 몰래 촬영하다 걸려 도망을 가는데, 얼마 후 그의 직장에 한 업체의 여직원이 계약 건으로 찾아오게 되고, 그녀의 얼굴을 본 부장은 심장이 터질듯한 공포를 느낀다. 그녀는 바로 자신이 도촬했던 공원의 여성. 아니나 다를까, 그녀는 부장의 약점을 노리고 그를 옥죄어온다.,,,,,,,,,,
2018,162098,거룩한 분노,드라마,페트라 볼프,마리 루엔베르게르, 맥시밀리언 시모니슈에크, 레이첼 브라운쉬웨이그,진실된 모습을 위해 비로소 용기를 낸  그녀들의 찬란한 이야기가 지금부터 시작합니다!,,,,,,,,,,,
2018,161868,거미줄에 걸린 소녀,범죄, 액션, 스릴러,페데 알바레즈,클레어 포이, 실비아 획스, 스베리르 구드나손,일명 ‘악의 심판자’라 불리는 비밀스런 천재 해커 ‘리스베트’는 한 의뢰인으로부터 위험한 제안을 받는다.   하지만 임무를 수행하던 중 괴한들의 습격을 받게 되고, 의뢰인 마저 살해 당한다.  이번 일이 전 세계를 위협하는 해커 범죄 조직 ‘스파이더스’와 연관되어 있음을 알게 된 리스베트는   사건의 진실과 스파이더스의 정체를 파헤칠수록 더 큰 위협에 처하게 되고,  설상가상 사건의 핵심 정보와 중요한 단서를 쥔 인물까지 빼앗기게 되는데...    악의 심판자 리스베트, 그녀의 추적이 시작된다.,,,,,,
2018,170669,거유 관능소설작가,에로,마스부치 가키토,,아키카와는 관능소설작가로 그녀의 작품은 영상화되는 등 해당 분야에서 유명하다. 하지만 여류 작가라서 그녀가 섹스를 좋아하는 줄 알고 접근하는 남자들에게 시달린다. 우연히 만난 전 직장 동료였던 타케다 역시 다른 남자들처럼 그녀의 몸을 노리고 접근하고, 아키카와는 마지못해 그와 몸을 섞는다. 내키지 않지만 타케다에게 상처 주지 않으려고 기계적으로 몸을 놀리는 아키카와. 그런 그녀가 자신의 작품을 연기하는 남배우인 오오츠카에게 본능적으로 끌리게 된다. 오오츠카의 연기를 보고 그에 대한 생각을 떨칠 수 없었던 아키카와는 그에게 취재를 빌미로 성관계를 요구, 오오츠카와 농밀한 정사를 나눈다. 만족스러운 섹스를 한 아키카와는 처음으로 솔직한 자신의 경험을 소설로 옮긴다.,,,,,,,,,,,
2018,173480,거짓말 2018: 감독판,멜로/로맨스,이전,,젊은 여자들과 즐기는 것이 삶의 유일한 낙인 50대 중반의 기러기 아빠 표철. 돈을 노리고 접근한 여자들에게 된통 당한 후, 만남업체에서 선이라는 새로운 여자를 만나게 된다. 표철은 다른 젊은 여자들과는 다른 생각과 행동을 보이는 선에 대해 점점 더 궁금해지고, 그녀와 즐기는 단계를 넘어서 깊은 관계로 점점 발전하게 되는데...,,,,,,,,,,,
2018,169505,거짓말 애인,멜로/로맨스,이민,유리, 해일,아르바이트로 애인대행을 하고 있는 민정은 손님으로 만났지만 진짜 애인처럼 다정하게 대해주는 경민에게 마음을 빼앗긴다.  한편, 직장에서 갑작스럽게 해고 당한 민지는 이유조차 알 수 없어 속상해하고, 민정은 그런 민지를 위로하기 위해 애인대행으로 남자를 소개시켜주겠다고 하는데…,,,,,,,,,,
2018,172518,건마의 신:어린 아내의 알바,,카네다 사토시,,백수남편 때문에 결혼전 다니던 에스테틱샵에서 일을 시작한 아야코는 그곳에서 많은 유명인들을 상대한다.   VIP 손님들만 출입가능한 에스테틱엔 유명 가수, 연예인이 찾아오고 유명 TV 호스트인 도스케베는 아야코에게 관심을 보이기 시작한다.  어느 날, 샵을 찾은 아이돌 아이코를 담당하게 된 아야코는 그녀가 피로에 지쳐있는 걸 발견하고 아이코를 자신의 집으로 초대하는데..,,,,,,,,,,,
2018,178815,걷기 좋은 날,드라마,박용주,조춘호, 윤해민,내 인생의 마지막 시간일지는 모르는 이 순간, 미치도록 걷기 좋은 날이다!  여행을 통해  진정한 행복과 삶의 즐거움을 깨닫는 감성 로드무비!    말썽 한번 부리지 않고 인자하신 부모님의 아래에서  큰 사랑을 받으며 자라난 상욱은 명문대를 나와 대기업에 다니며 열심히 살아가고 있다.  여자친구(해민)와의 결혼을 앞두고 있는 상욱은 세상 부러울 것 없이 행복한 나날을 보내고 있지만 청천병력 같은 암 선고에 삶은 흔들리기 시작한다.     무거운 마음을 안고 제주도 출장길에 오른 상욱.   상욱이 지고 있는 마음의 짐보다 무거워 보이는 가방을 메고 길을 걷고 있는 사람들의 표정은 밝기만 하다. 궁금함에 따라가 본 그 곳은 제주 올레길.  숨이 턱까지 차오르고 불편한 구두 속의 발은 점점 아파오지만, 자연 속을 걸으며 새로운 경험에 살아있음을 느끼게 된 상욱은 본격적인 여행을 시작하게 되는데...    드넓게 펼쳐진 제주도의 아름다운 풍광과 파도 소리, 비슷한 고민을 안고 살아가는 사람들과의 우연한 만남… 상욱의 여행은 계속될 수 있을까?,,,,,,,,,
