year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,
2013,108226,TV소설 은희,드라마,,경수진, 이인, 최윤소,6·25 전쟁 직전 의도치 않은 살인을 둘러싸고 세 가족의 엇갈린 운명과 화해, 그로 인한 젊은 남녀들의 굴곡진 사랑을 그린 드라마,,,,,,,,,,,,
2013,106709,VEEP 2 : 정치의 신 ,코미디, 드라마,아만도 이아누치, 트리스트램 샤피로, 크리스토퍼 굿식,줄리아 루이스 드레이퍼스, 토니 헤일, 안나 클럼스키,백악관에서 벌어지는 해프닝을 그린 드라마,,,,,,,,,,
2013,102163,가시꽃,드라마,김도형, 김가람,장신영, 강경준, 서도영,성폭행과 가족의 죽음, 사랑하는 남자의 배신 등을 경험한 세미가 거대 기업과 권력가들을 상대로 벌이는 복수극을 그린 드라마.,,,,,,,,,,,
2013,99391,가시꽃,드라마,이돈구,남연우, 양조아,책임감이 강하고 착실한 스물여덟 살 ‘성공’은 작은 의류공장에 다니고 있다. 다만, 내성적인 성격 탓에 친구 하나 없이 늘 외톨이다. 어느 날 무언가에 홀리듯 교회에 나간 성공은 그곳에서 지난 10년간 단 하루도 잊지 못했던 ‘장미’를 만난다. 밝고 쾌활한 성격의 장미와의 만남으로 성공의 단조롭던 일상은 변화하기 시작하고, 두 사람은 조금씩 가까워지며 서로를 의지한다.  장미를 향한 마음을 고백한 성공은 행복한 미래를 꿈꾸지만, 그녀가 여전히 10년 전 상처로 인해 괴로워한다는 사실을 알게 된다. 장미의 지울 수 없는 상처는 성공의 과거와도 연결되어 있었고, 성공은 괴로워하는 장미의 모습에 심한 충격에 휩싸인다. 장미에게 무엇이든 해주고 싶은 성공은 결국 돌이킬 수 없는 선택을 하는데…,,,,,,,,,,
2013,112047,가자, 장미여관으로,드라마, 멜로/로맨스,신정균,성은채, 장성원, 우도환,사귄 지 6개월 된 여자친구 민애와 아직까지 육체적인 관계를 가져본 적 없는 성수는 그녀와의 만남이 늘 흥분된다. 그러던 어느 날, 민애를 설득해 장미여관으로 끌어들이는데 성공한 성수. 샤워를 하기 위해 들어간 욕실에서 작은 구멍을 발견하게 되고 그 구멍을 통해 옆방을 우연히 엿보게 되고, 거기서 남녀의 성행위 장면을 목격하게 된다. 호기심이 발동한 성수는 더욱 숨죽여 그 장면을 엿보던 중 여자 연예인 사라가 거물급 정치인에게 성 상납을 하는 현장임을 알고 충격을 받게 되는데...,,,,,,,,,
2013,91988,가족의 나라,드라마,양영희,안도 사쿠라, 아라타, 양익준,나는 말했다. “당신도, 당신의 나라도 싫다...” 감시자가 말했다. “그 나라에서 네 오빠도, 나도 죽을 때까지 살아야 한다” 오빠가 말했다. “넌 여행하면서 많은 것을 보고, 하고 싶은 일을 하며 살아라”  조국이라 강요 당한 나라.  그 곳엔 소중한 내 가족이 있다.,,,,,,,,,,
2013,102600,가족의 품격 : 풀하우스,,김호상,이경규, 이정민,품격 있는 가족을 만들기 위해 16인의 전문가가 제시하는 현명한 가족문제 해결법을 담은 프로그램.,,,,,,,,,,,,,,
2013,91930,가투의 연날리기,드라마,라잔 코사,모드 사매드, 자얀타 다스, 하르시트,학교가 끝나면 가투네 동네 아이들은 연싸움에 정신이 없다. 그 중에서도 챔피언은 이름도, 얼굴도 알려지지 않은 칼리라고 불리는 아이. 가투는 엄마 아빠 없이 삼촌의 가게 일을 도우며 정신없는 하루를 보내지만 연싸움 시간이 되면 삼촌 몰래 빠져나와 칼리를 이기기 위해 최선을 다한다. 그리고 마을에서 가장 높은 곳인 학교 종탑에서 연을 날리기 위해 학교에 몰래 위장 잠입을 시도하는데...,,,,,,,,,,,,
2013,133043,갈릴레오 XX : 우츠미 카오루 마지막 사건 - 우롱하다,,니시타니 히로시,시바사키 코우, 유스케 산타마리아, 야기라 유야,갈릴레오'의 스핀오프로 우치미 형사가 연수를 위해 미국 오클라호마주로 떠나기 직전에 있었던 일을 그린 드라마,,,,,,,,,,,,,
2013,72522,감기,드라마, 모험, 액션,김성수,장혁, 수애, 박민하,호흡기로 감염, 감염속도 초당 3.4명, 치사율 100%의 유례 없는 최악의 바이러스가 대한민국에 발병하고, 이에 정부는 전세계적인 확산을 막기위해 국가 재난사태를 발령, 급기야 도시 폐쇄라는 초유의 결정을 내린다. 피할 새도 없이 격리된 사람들은 일대혼란에 휩싸이게 되고, 대재난 속에서 살아 남기 위한 사람들의 목숨 건 사투가 시작된다.,,,,,,
