code,title,genre,directors,actors,running,story,,,,,,,,,,
17192,러브 스토리,드라마,배창호,"배창호, 김유미",1,늦여름의 어느 오후, 인테리어 코디네이터인 김수인은 여러 모습의 사람들로 북적대는 벼룩시장에서 괴짜 영화감독 하성우와 우연히 맞부딪친다. 예민한 감성의 소유자이며 완벽주의에 가까울 정도로 매사 철저한 수인에 비해 몇해째 작업을 쉬고 있는 하성우는 일상생활에는 무신경해 보일 정도로 털털한 성격을 가진 노총각. 첫 만남부터 서로의 모습에 매력을 느끼고 두사람의 관계는 성우의 적극적인 프로포즈에 의해 매일매일의 데이트로 이어진다. 가을이 깊어갈 무렵 수인과 성우는 평화로운 지리산 농가로의 여행길에 오르고 남자를 받아들이기까지 좀더 진지한 준비가 필요하다고 생각하는 수인 때문에 각자 다른방에서 밤을 보낸다. 그러나 옆방에 잠들어 있을 성우의 존재감으로 뒤척이던 수인은 성우와의 사랑에 대해 너그러워지는 자신을 발견하고는 비로서 편안한 마음으로 잠자리를 함께 하게 된다.<br/> 하지만 정작 문제는 지금부터. 수인을 소유했다는 만족감에서 비롯된 기쁨에 사로잡힌 성우의 무신경한 농담과 격식을 갖추지 않은 구혼은 수인의 예민한 자존심을 흔들어 놓고 성우는 성우대로 수인의 날카로운 반응에 몹시 언짢아진다. 시간이 흐르고 다시 홀로 서있는 자신들의 모습을 들여다보게 된 수인과 성우는 '사랑'의 신성한 의미를 되새기며 서로를 그리워하고 있음을 깨닫지만 재회란 그리 쉽지 않다. 결국 주체할 수 없는 감정에 이끌린 성우는 초겨울 새벽길을 달려 수인의 집앞에 이르고 지난날 보다 더 큰 사랑으로 맺어지기를 원하고 있는 서로의 모습을 확인한다. 수인의 따스한 손에 처음으로 그녀의 방에 초대된 성우는 평생의 반려자가 되어 줄 것을 청하고 헤어져 있는 동안 성우에 대한 깊은 애정과 믿음을 갖게 된 수인은 그의 청혼을 받아들이고 앞으로 펼쳐질 인생에서 사랑과 우정을 함께 나눌것임을 약속하며 포옹한다.,,,,,,,,,
201073,코다,드라마,션 헤이더,"에밀리아 존스, 퍼디아 월시-필로, 트로이 코처",1,24/7 함께 시간을 보내며 소리를 들을 수 없는 가족을 세상과 연결하는 코다 '루비'는 <br/>짝사랑하는 '마일스'를 따라간 합창단에서 노래하는 기쁨과 숨겨진 재능을 알게 된다.<br/><br/>합창단 선생님의 도움으로 마일스와의 듀엣 콘서트와 버클리 음대 오디션의 기회까지 얻지만<br/>자신 없이는 어려움을 겪게 될 가족과 노래를 향한 꿈 사이에서 루비는 망설이는데…,,,,,,,,,,
10133,고래사냥,드라마,배창호,"김수철, 이미숙, 안성기",1,소심한 병태는 짝사랑하던 여대생 미란에 대한 구애에 실패하고 좌절을 느껴 고래사냥을 위해 가출한다. 그는 거리를 배회하다가 거렁뱅이 민우를 만나 어울린다. 도시를 유전하던 그들은 윤락가에서 벙어리 여인 춘자를 만난다. 병태는 민우의 도움을 얻어 춘자의 잃어버린 말과 고향을 찾아주기로 하고 그녀를 구출시켜 귀향길에 오른다. 어렵고 괴로운 여행으로 춘자는 말을 되찾고 그리운 어머니의 품에 안긴다. 그리고 병태는 고래는 먼 바다에 있는 것이 아니라 바로 이웃에 대한 사랑의 실천이라는 것을 깨닫는다.,,,,,,,,,,
201799,작은새와 돼지씨,다큐멘터리,김새봄,"김춘나, 김종석, 김새봄",1,소녀 감성의 작은새와 흥도 많고 호탕하지만 눈물 많은 돼지씨는<br/>연애 시절 시처럼 감미로운 손편지로 사랑을 속삭였다.<br/>이들은 어느덧 황혼의 부부가 되어 글과 그림에 담아낸다.,,,,,,,,,,
185282,타오르는 여인의 초상,드라마,셀린 시아마,"아델 에넬, 노에미 메를랑, 루아나 바야미",1,초상화를 그리는 화가 마리안느(노에미 멜랑)는 <br/>원치 않는 결혼을 앞둔 귀족 아가씨 엘로이즈(아델 에넬)의 결혼 초상화 의뢰를 받는다. <br/>엘로이즈 모르게 그림을 완성해야 하는 마리안느는 비밀스럽게 그녀를 관찰하며<br/>알 수 없는 묘한 감정의 기류에 휩싸이게 된다.  <br/><br/>잊을 수 없는, 잊혀지지 않을 사랑의 기억을 마주하게 할 걸작을 만난다!,,,,,,,,,
189568,웰컴 투 X-월드,다큐멘터리,한태의,"최미경, 한태의 ,한흥만",1,구로동 집에는 나, 엄마 그리고 친할아버지가 산다.<br/>12년 전 아빠가 돌아가신 후에도<br/>엄마는 시아버지를 모시고 산다.<br/>희생하는 엄마를 보고 자란 나는 결혼이 싫다,,,,,,,,,
213434,테이크오프: 파도위에 서다,드라마,강대희,"박서진, 조재윤, 임시현",1,얼떨결에 오게 된 양양, 얼떨결에 도전해본 서핑.<br/>꿈은 많고, 되는 건 없는 20대 청춘 세진에게 파도는 말한다.<br/>“일단 넘어져!” 뭐든 한번 해보면, 다음은 보드위에 올라설 수 있다고.<br/>세진은 시원하게 넘어지기 위한 발걸음을 떼기 시작한다.,,,,,,,
154793,무녀도,"애니메이션, 뮤지컬",안재훈,"소냐, 김다현, 장원영",1,영험이 점점 사라져가는 것을 느끼는 이름난 무녀 ‘모화’<br/>아들 ‘욱이’를 절에 보내고 아픈 딸 ‘낭이’를 애지중지 키우며 살아간다.<br/>하지만 10년 만에 돌아온 아들 ‘욱이’와 그가 섬기는 예수님이<br/>‘모화’ 자신의 삶을 점점 흔들기 시작하는데...<br/><br/>스러지는 모화의 삶, 마지막 굿판이 시작된다!,,,,,,,,,
218810,"어쩌다 공주,  닭냥이 왕자를 부탁해!","애니메이션, 판타지, 모험",줄리앙 프루네,,1,왕좌를 노리는 마법사 트리스탄을 막기 위해 <br/>필은 엉망진창 원정대를 이끌고 <br/>마법의 저주가 걸린 숲으로 모험을 떠나는데 <br/><br/>어쩌다 시작된 <br/>필 공주와 일곱 기사들의 대환장 판타지 어드벤처!,,,,,,,,,,
187321,1917,"드라마, 전쟁",샘 멘데스,"조지 맥케이, 딘-찰스 채프먼",1,제1차 세계대전이 한창인 1917년.<br/>독일군에 의해 모든 통신망이 파괴된 상황 속에서<br/>영국군 병사 '스코필드'(조지 맥케이)와 '블레이크'(딘-찰스 채프먼)에게 하나의 미션이 주어졌다.<br/><br/>함정에 빠진 영국군 부대의 수장 '매켄지' 중령(베네딕트 컴버배치)에게<br/>'에린무어' 장군(콜린 퍼스)의 공격 중지 명령을 전하는 것!<br/><br/>둘은 1600명의 아군과 '블레이크'의 형(리차드 매든)을 구하기 위해<br/>전쟁터 한복판을 가로지르며 사투를 이어가는데...,,,,,,,,,,
17059,중경삼림,드라마,왕가위,"임청하, 양조위, 왕페이",1,1994년 홍콩,"<br/><br/>“내 사랑의 유통기한은 만 년으로 하고 싶다”<br/>만우절의 이별 통보가 거짓말이길 바라며 술집을 찾은 경찰 223<br/>고단한 하루를 보내고 술집에 들어온 금발머리의 마약밀매상<br/><br/>""그녀가 떠난 후 이 방의 모든 것들이 슬퍼한다""<br/>여자친구가 남긴 이별 편지를 외면하고 있는 경찰 663<br/>편지 속에 담긴 그의 아파트 열쇠를 손에 쥔 단골집 점원 페이<br/><br/>네 사람이 만들어낸 두 개의 로맨스<br/>새로운 사랑을 만나는 방법에 대한 독특한 상상력",,,,,,,,,
195450,아웃포스트,"전쟁, 드라마",로드 루리,"올랜도 블룸, 스콧 이스트우드, 케일럽 랜드리 존스",1,사방이 산으로 둘러싸인 방어 불가 지상 최악의 전초기지!<br/>적의 공격에 무방비하게 노출될 수밖에 없는 이곳 <br/>아군의 지원은 물론 제대로 된 보급조차 기대하기 힘들다. <br/>군 조사단조차 ‘명백히 방어 불가능’ 이라는 판정을 내린 상태. <br/>호시탐탐 기회를 엿보는 적들로, 매일매일이 위험한 상황 속 총공세가 시작 되는데…,,,,,,,,,
10764,기쁜 우리 젊은 날,"드라마, 멜로/로맨스",배창호,"안성기, 황신혜, 최불암",1,영민(안성기 분)은 대학 시절 연극 공연을 통해 처음 본 혜린(황신혜 분)을 짝사랑하여 그녀의 연극공연 때마다 익명으로 꽃, 과일 등을 보내고 공연 사진을 앨범으로 만들어 정성껏 보내곤한다. 그러나 혜린은 오성우란 산부인과 전문의와 결혼을 하고 뉴욕으로 떠난다. 그후 어느날 영민은 지하철에서 추억의 여인이 되어버린 혜린을 발견한다. 그녀는 이혼녀의 모습이었다. 혜린의 상처와 슬픔이 클 수록 영민의 사랑은 배가 되고 혜린은 결혼을 승락한다. 하지만 혜린은 임신중독 증세를 보여 산모의 생명을 장담할 수 없다는 의사의 말에 영민은 수술을 권하나 혜린은 진정으로 사랑했던 영민의 아이를 낳기를 소망한다. 결국 혜린은 아이를 낳고 죽고, 영민은 엄마와 꼭 배닮은 딸 아이를 행복하게 키운다.,,,,,,,,
